Transaction_ID,Date,Vendor,Department,Amount,Issue_Type,ML_Risk_Score,Recommended_Action,Estimated_Savings,Auto_Action,Execution_Status
4909,2024-07-23 12:00:00,Wipro,Finance,679424,High ML Risk (Pattern),0.9374385614385613,Investigate Vendor,135884.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7792,2024-11-20 15:00:00,AWS,Operations,679057,High ML Risk (Pattern),0.8746014181896534,Investigate Vendor,135811.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8753,2024-12-30 16:00:00,Wipro,HR,678707,High ML Risk (Pattern),0.9570551948051947,Investigate Vendor,135741.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4573,2024-07-09 12:00:00,Google Cloud,IT,672923,High ML Risk (Pattern),0.8839213286713288,Investigate Vendor,134584.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
377,2024-01-16 16:00:00,AWS,HR,669564,High ML Risk (Pattern),0.958482142857143,Investigate Vendor,133912.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
953,2024-02-09 16:00:00,Azure,Operations,668785,High ML Risk (Pattern),0.9759320679320679,Investigate Vendor,133757.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5183,2024-08-03 22:00:00,AWS,IT,668586,High ML Risk (Pattern),0.9137193084693084,Investigate Vendor,133717.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5477,2024-08-16 04:00:00,TCS,Operations,667155,High ML Risk (Pattern),0.9545930735930738,Investigate Vendor,133431.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1686,2024-03-11 05:00:00,AWS,Finance,650927,High ML Risk (Pattern),0.9178269230769232,Investigate Vendor,130185.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7228,2024-10-28 03:00:00,IBM,Operations,649412,High ML Risk (Pattern),0.9538567251461988,Investigate Vendor,129882.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9756,2025-02-10 11:00:00,IBM,HR,645849,High ML Risk (Pattern),0.9176196581196581,Investigate Vendor,129169.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8204,2024-12-07 19:00:00,Azure,IT,644876,High ML Risk (Pattern),0.9221223776223776,Investigate Vendor,128975.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
511,2024-01-22 06:00:00,Infosys,IT,637272,High ML Risk (Pattern),0.9008068181818182,Investigate Vendor,127454.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7459,2024-11-06 18:00:00,Wipro,IT,636763,High ML Risk (Pattern),0.9567261586452763,Investigate Vendor,127352.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
985,2024-02-11 00:00:00,Azure,HR,635883,High ML Risk (Pattern),0.9472341269841269,Investigate Vendor,127176.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5413,2024-08-13 12:00:00,Azure,Marketing,629032,High ML Risk (Pattern),0.9166863430686959,Investigate Vendor,125806.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5423,2024-08-13 22:00:00,Wipro,HR,628435,High ML Risk (Pattern),0.9025817736185384,Investigate Vendor,125687.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3680,2024-06-02 07:00:00,TCS,Finance,626993,High ML Risk (Pattern),0.9138383838383838,Investigate Vendor,125398.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
49,2024-01-03 00:00:00,AWS,Marketing,621386,High ML Risk (Pattern),0.8831471861471861,Investigate Vendor,124277.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3101,2024-05-09 04:00:00,Infosys,Finance,621144,High ML Risk (Pattern),0.9200325814536339,Investigate Vendor,124228.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8084,2024-12-02 19:00:00,TCS,Marketing,618872,High ML Risk (Pattern),0.8844961865619761,Investigate Vendor,123774.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2795,2024-04-26 10:00:00,Infosys,IT,617963,High ML Risk (Pattern),0.9502821391714579,Investigate Vendor,123592.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2656,2024-04-20 15:00:00,Google Cloud,Finance,616901,High ML Risk (Pattern),0.9042222222222223,Investigate Vendor,123380.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9259,2025-01-20 18:00:00,IBM,IT,615906,High ML Risk (Pattern),0.868921679627562,Investigate Vendor,123181.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7119,2024-10-23 14:00:00,TCS,Marketing,612929,High ML Risk (Pattern),0.9358333333333333,Investigate Vendor,122585.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
6236,2024-09-16 19:00:00,TCS,IT,612188,High ML Risk (Pattern),0.8993385503385504,Investigate Vendor,122437.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
657,2024-01-28 08:00:00,Infosys,IT,611973,High ML Risk (Pattern),0.830515873015873,Investigate Vendor,122394.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4870,2024-07-21 21:00:00,Infosys,Marketing,611866,High ML Risk (Pattern),0.8924568238778765,Investigate Vendor,122373.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5210,2024-08-05 01:00:00,Infosys,Finance,611232,High ML Risk (Pattern),0.8521237680448206,Investigate Vendor,122246.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3585,2024-05-29 08:00:00,IBM,IT,609578,High ML Risk (Pattern),0.9316388888888889,Investigate Vendor,121915.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2127,2024-03-29 14:00:00,Google Cloud,HR,600880,High ML Risk (Pattern),0.9505833333333333,Investigate Vendor,120176.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4170,2024-06-22 17:00:00,Wipro,Operations,599984,High ML Risk (Pattern),0.9431616161616162,Investigate Vendor,119996.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3204,2024-05-13 11:00:00,Google Cloud,Operations,597857,High ML Risk (Pattern),0.882329143079143,Investigate Vendor,119571.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1794,2024-03-15 17:00:00,IBM,IT,593899,High ML Risk (Pattern),0.9272499999999999,Investigate Vendor,118779.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3668,2024-06-01 19:00:00,TCS,IT,593361,High ML Risk (Pattern),0.9248737373737375,Investigate Vendor,118672.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1299,2024-02-24 02:00:00,IBM,Marketing,591685,High ML Risk (Pattern),0.917709595959596,Investigate Vendor,118337.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8090,2024-12-03 01:00:00,IBM,Operations,586795,High ML Risk (Pattern),0.9468690476190476,Investigate Vendor,117359.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8177,2024-12-06 16:00:00,Infosys,IT,586301,High ML Risk (Pattern),0.9167539682539683,Investigate Vendor,117260.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
943,2024-02-09 06:00:00,Infosys,Marketing,585757,High ML Risk (Pattern),0.9249638266789968,Investigate Vendor,117151.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5405,2024-08-13 04:00:00,TCS,Operations,577481,High ML Risk (Pattern),0.9624065656565657,Investigate Vendor,115496.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2872,2024-04-29 15:00:00,AWS,Marketing,574199,High ML Risk (Pattern),0.9143333333333336,Investigate Vendor,114839.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1066,2024-02-14 09:00:00,Azure,Marketing,573980,High ML Risk (Pattern),0.9158529411764705,Investigate Vendor,114796.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
447,2024-01-19 14:00:00,Azure,IT,572956,High ML Risk (Pattern),0.9417063492063492,Investigate Vendor,114591.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5391,2024-08-12 14:00:00,Wipro,Operations,566816,High ML Risk (Pattern),0.9291005383505383,Investigate Vendor,113363.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5714,2024-08-26 01:00:00,AWS,Finance,564789,High ML Risk (Pattern),0.8889743173493174,Investigate Vendor,112957.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1141,2024-02-17 12:00:00,Wipro,HR,561470,High ML Risk (Pattern),0.8910425522190227,Investigate Vendor,112294.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
6471,2024-09-26 14:00:00,AWS,Marketing,557525,High ML Risk (Pattern),0.869689118071471,Investigate Vendor,111505.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7110,2024-10-23 05:00:00,TCS,Marketing,556570,High ML Risk (Pattern),0.9133059163059162,Investigate Vendor,111314.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2264,2024-04-04 07:00:00,IBM,IT,551236,High ML Risk (Pattern),0.9460714285714286,Investigate Vendor,110247.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4061,2024-06-18 04:00:00,AWS,Finance,550532,High ML Risk (Pattern),0.8748684648684646,Investigate Vendor,110106.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9016,2025-01-10 15:00:00,IBM,IT,548675,High ML Risk (Pattern),0.9653968253968255,Investigate Vendor,109735.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4691,2024-07-14 10:00:00,Azure,IT,541908,High ML Risk (Pattern),0.9198531533825651,Investigate Vendor,108381.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5600,2024-08-21 07:00:00,AWS,Operations,541798,High ML Risk (Pattern),0.9334674214674215,Investigate Vendor,108359.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9052,2025-01-12 03:00:00,Google Cloud,Marketing,540920,High ML Risk (Pattern),0.8369358974358976,Investigate Vendor,108184.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7070,2024-10-21 13:00:00,TCS,Finance,540740,High ML Risk (Pattern),0.9061630591630592,Investigate Vendor,108148.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2979,2024-05-04 02:00:00,Wipro,IT,537128,High ML Risk (Pattern),0.9414523809523808,Investigate Vendor,107425.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3956,2024-06-13 19:00:00,Infosys,Operations,534906,High ML Risk (Pattern),0.9283333333333335,Investigate Vendor,106981.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
358,2024-01-15 21:00:00,AWS,Operations,533239,High ML Risk (Pattern),0.9792705627705627,Investigate Vendor,106647.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5113,2024-08-01 00:00:00,AWS,IT,531868,High ML Risk (Pattern),0.9249804778554777,Investigate Vendor,106373.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9366,2025-01-25 05:00:00,IBM,Finance,528734,High ML Risk (Pattern),0.9105784967956019,Investigate Vendor,105746.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9788,2025-02-11 19:00:00,AWS,Operations,519227,High ML Risk (Pattern),0.9637445887445887,Investigate Vendor,103845.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4912,2024-07-23 15:00:00,Google Cloud,Finance,518021,High ML Risk (Pattern),0.9161707459207459,Investigate Vendor,103604.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2519,2024-04-14 22:00:00,IBM,HR,517055,High ML Risk (Pattern),0.9178888888888889,Investigate Vendor,103411.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8353,2024-12-14 00:00:00,Wipro,HR,508732,High ML Risk (Pattern),0.9483165723165723,Investigate Vendor,101746.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1594,2024-03-07 09:00:00,Azure,IT,508067,High ML Risk (Pattern),0.9701944444444445,Investigate Vendor,101613.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
834,2024-02-04 17:00:00,IBM,Finance,507184,High ML Risk (Pattern),0.9025473856209149,Investigate Vendor,101436.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7807,2024-11-21 06:00:00,Google Cloud,Marketing,500463,High ML Risk (Pattern),0.8899356060606061,Investigate Vendor,100092.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4603,2024-07-10 18:00:00,Google Cloud,Marketing,497224,High ML Risk (Pattern),0.9211263736263737,Investigate Vendor,99444.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5627,2024-08-22 10:00:00,AWS,Operations,496856,High ML Risk (Pattern),0.9424718614718615,Investigate Vendor,99371.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3843,2024-06-09 02:00:00,IBM,Operations,495408,High ML Risk (Pattern),0.886462703962704,Investigate Vendor,99081.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2086,2024-03-27 21:00:00,Google Cloud,HR,494290,High ML Risk (Pattern),0.8968214285714285,Investigate Vendor,98858.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
74,2024-01-04 01:00:00,Infosys,Marketing,493366,High ML Risk (Pattern),0.9639026806526806,Investigate Vendor,98673.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5701,2024-08-25 12:00:00,TCS,Marketing,493245,High ML Risk (Pattern),0.9227486022749182,Investigate Vendor,98649.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3381,2024-05-20 20:00:00,TCS,IT,492370,High ML Risk (Pattern),0.9299358974358976,Investigate Vendor,98474.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2205,2024-04-01 20:00:00,TCS,HR,492065,High ML Risk (Pattern),0.8963075258075258,Investigate Vendor,98413.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2812,2024-04-27 03:00:00,Azure,Marketing,479180,High ML Risk (Pattern),0.9065654761904761,Investigate Vendor,95836.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9558,2025-02-02 05:00:00,Infosys,Marketing,479088,High ML Risk (Pattern),0.9009660617160615,Investigate Vendor,95817.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2751,2024-04-24 14:00:00,Infosys,Finance,477874,High ML Risk (Pattern),0.9492499999999999,Investigate Vendor,95574.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1960,2024-03-22 15:00:00,AWS,Marketing,476406,High ML Risk (Pattern),0.9409657009657011,Investigate Vendor,95281.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9116,2025-01-14 19:00:00,TCS,IT,469351,High ML Risk (Pattern),0.929408496732026,Investigate Vendor,93870.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3683,2024-06-02 10:00:00,TCS,Marketing,464026,High ML Risk (Pattern),0.9342136752136753,Investigate Vendor,92805.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
3659,2024-06-01 10:00:00,Wipro,Operations,462547,High ML Risk (Pattern),0.9348994241053065,Investigate Vendor,92509.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2772,2024-04-25 11:00:00,Azure,IT,448160,High ML Risk (Pattern),0.9581944444444445,Investigate Vendor,89632.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
6621,2024-10-02 20:00:00,Azure,Operations,435424,High ML Risk (Pattern),0.9191284300494825,Investigate Vendor,87084.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1387,2024-02-27 18:00:00,Azure,Marketing,423852,High ML Risk (Pattern),0.9341361416361416,Investigate Vendor,84770.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4373,2024-07-01 04:00:00,Google Cloud,Marketing,422483,High ML Risk (Pattern),0.8904114774114774,Investigate Vendor,84496.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1261,2024-02-22 12:00:00,Infosys,Marketing,421958,High ML Risk (Pattern),0.9315383880825056,Investigate Vendor,84391.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
6006,2024-09-07 05:00:00,Infosys,IT,420203,High ML Risk (Pattern),0.8932658730158728,Investigate Vendor,84040.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8821,2025-01-02 12:00:00,TCS,Marketing,419866,High ML Risk (Pattern),0.885763431013431,Investigate Vendor,83973.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
379,2024-01-16 18:00:00,TCS,IT,417006,High ML Risk (Pattern),0.929408496732026,Investigate Vendor,83401.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
6467,2024-09-26 10:00:00,Infosys,IT,413453,High ML Risk (Pattern),0.9490818713450294,Investigate Vendor,82690.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4736,2024-07-16 07:00:00,TCS,Marketing,408569,High ML Risk (Pattern),0.968,Investigate Vendor,81713.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5870,2024-09-01 13:00:00,IBM,HR,404749,High ML Risk (Pattern),0.887195165945166,Investigate Vendor,80949.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
4271,2024-06-26 22:00:00,Infosys,Operations,404234,High ML Risk (Pattern),0.945171568627451,Investigate Vendor,80846.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7184,2024-10-26 07:00:00,TCS,Finance,404106,High ML Risk (Pattern),0.9375245726495727,Investigate Vendor,80821.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1611,2024-03-08 02:00:00,Wipro,Marketing,403762,High ML Risk (Pattern),0.9221128871128872,Investigate Vendor,80752.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8274,2024-12-10 17:00:00,Google Cloud,IT,400032,High ML Risk (Pattern),0.8469163418281065,Investigate Vendor,80006.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8368,2024-12-14 15:00:00,Google Cloud,IT,399227,High ML Risk (Pattern),0.8712503607503609,Investigate Vendor,79845.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8867,2025-01-04 10:00:00,Wipro,Operations,396019,High ML Risk (Pattern),0.9350075757575756,Investigate Vendor,79203.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1576,2024-03-06 15:00:00,AWS,IT,394251,High ML Risk (Pattern),0.9205888457947282,Investigate Vendor,78850.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9782,2025-02-11 13:00:00,IBM,HR,393782,High ML Risk (Pattern),0.9255833333333335,Investigate Vendor,78756.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5437,2024-08-14 12:00:00,TCS,Marketing,391567,High ML Risk (Pattern),0.9340086580086581,Investigate Vendor,78313.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7264,2024-10-29 15:00:00,IBM,Operations,390286,High ML Risk (Pattern),0.9254395604395604,Investigate Vendor,78057.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
957,2024-02-09 20:00:00,Google Cloud,Marketing,388052,High ML Risk (Pattern),0.9390963203463203,Investigate Vendor,77610.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
6369,2024-09-22 08:00:00,AWS,HR,379159,High ML Risk (Pattern),0.8734380341880342,Investigate Vendor,75831.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
35,2024-01-02 10:00:00,Google Cloud,Finance,376353,High ML Risk (Pattern),0.9475,Investigate Vendor,75270.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8422,2024-12-16 21:00:00,TCS,Operations,375634,High ML Risk (Pattern),0.906560744810745,Investigate Vendor,75126.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2565,2024-04-16 20:00:00,Google Cloud,Marketing,374620,High ML Risk (Pattern),0.9375757575757576,Investigate Vendor,74924.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8081,2024-12-02 16:00:00,AWS,IT,372632,High ML Risk (Pattern),0.8960194250194252,Investigate Vendor,74526.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
7638,2024-11-14 05:00:00,IBM,HR,370027,High ML Risk (Pattern),0.9727380952380953,Investigate Vendor,74005.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
545,2024-01-23 16:00:00,Azure,Marketing,367814,High ML Risk (Pattern),0.9470399698340874,Investigate Vendor,73562.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
250,2024-01-11 09:00:00,Wipro,Finance,365190,High ML Risk (Pattern),0.9312698249462956,Investigate Vendor,73038.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
6885,2024-10-13 20:00:00,Infosys,IT,362704,High ML Risk (Pattern),0.9126767676767676,Investigate Vendor,72540.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5972,2024-09-05 19:00:00,Google Cloud,IT,359424,High ML Risk (Pattern),0.8989113247863247,Investigate Vendor,71884.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8525,2024-12-21 04:00:00,Azure,IT,359317,High ML Risk (Pattern),0.9533787878787879,Investigate Vendor,71863.4,HIGH PRIORITY REVIEW,Vendor Flagged for Review
5969,2024-09-05 16:00:00,Wipro,Marketing,353233,High ML Risk (Pattern),0.9453455988455987,Investigate Vendor,70646.6,HIGH PRIORITY REVIEW,Vendor Flagged for Review
8140,2024-12-05 03:00:00,Google Cloud,Marketing,347621,High ML Risk (Pattern),0.8607519980019976,Investigate Vendor,69524.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2879,2024-04-29 22:00:00,Wipro,HR,346166,High ML Risk (Pattern),0.9766321195144724,Investigate Vendor,69233.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
9927,2025-02-17 14:00:00,Google Cloud,HR,341020,High ML Risk (Pattern),0.8590812324929974,Investigate Vendor,68204.0,HIGH PRIORITY REVIEW,Vendor Flagged for Review
1463,2024-03-01 22:00:00,Wipro,Marketing,339911,High ML Risk (Pattern),0.9221128871128872,Investigate Vendor,67982.2,HIGH PRIORITY REVIEW,Vendor Flagged for Review
2423,2024-04-10 22:00:00,TCS,Marketing,335769,High ML Risk (Pattern),0.9213333333333332,Investigate Vendor,67153.8,HIGH PRIORITY REVIEW,Vendor Flagged for Review
