transaction_id,transaction_type,amount,budget_amount,sender,receiver,sender_old_balance,sender_new_balance,receiver_old_balance,receiver_new_balance,is_fraud,date,month,currency
T0000017,CASH_OUT,8715.08,8342.900081317051,C2153022,M1146493,388136.23,379421.15,51942.58,60657.66,0,2023-01-01,January,INR
T0000018,TRANSFER,23818.79,25374.97874860108,C8557733,M1907369,93146.06,69327.27,78843.3,102662.09,0,2023-01-01,January,INR
T0000019,CASH_OUT,43409.12,43877.891365678326,C5053472,M5271928,371206.22,327797.1,409024.72,452433.84,0,2023-01-01,January,INR
T0000020,TRANSFER,110506.63,108443.92452782144,C5503166,M6229890,384177.72,273671.09,208050.44,318557.07,0,2023-01-01,January,INR
T0000021,PAYMENT,63293.67,59455.80472764775,C4337181,C2616407,439911.1,376617.43,340722.19,404015.86,0,2023-01-01,January,INR
T0000022,TRANSFER,4231.47,4124.458032958025,C2642946,M6446196,483617.5,479386.03,338375.4,342606.87,0,2023-01-01,January,INR
T0000023,TRANSFER,3054.17,2969.1860179720175,C9340883,C1220256,373562.09,370507.92,106561.91,109616.08,0,2023-01-01,January,INR
T0000025,TRANSFER,67100.11,70265.91079678078,C6794785,C5138972,391849.47,324749.36,359835.33,426935.44,0,2023-01-01,January,INR
T0000026,PAYMENT,66291.12,61472.39663480445,C4621728,C1446591,94615.25,28324.13,5949.64,72240.76,0,2023-01-01,January,INR
T0000027,CASH_IN,1504.02,1617.885003957808,C8404853,C6702731,369408.34,367904.32,244839.37,246343.39,0,2023-01-01,January,INR
T0000028,CASH_IN,43382.52,46745.54913350896,C5908861,M5816790,454702.56,411320.04,67315.99,110698.51,0,2023-01-01,January,INR
T0000029,TRANSFER,78639.25,73504.758242216,C4990727,M6087975,226614.21,147974.96,255624.86,334264.11,0,2023-01-01,January,INR
T0000030,TRANSFER,9122.67,9759.745850004141,C5054135,C5623092,11019.41,1896.74,244067.28,253189.95,0,2023-01-01,January,INR
T0000031,DEBIT,48875.66,47373.44056011947,C3045148,C7222490,168380.48,119504.82,276828.4,325704.06,0,2023-01-01,January,INR
T0000032,PAYMENT,3866.34,3846.0414338499895,C1829223,C6882505,48292.17,44425.83,176431.84,180298.18,0,2023-01-01,January,INR
T0000033,CASH_OUT,17993.21,18966.220238884936,C5991262,C6940631,313186.66,295193.45,114625.93,132619.14,0,2023-01-01,January,INR
T0000034,PAYMENT,17047.9,18311.845624236143,C8991007,C2916358,417392.38,400344.48,235059.93,252107.83,0,2023-01-01,January,INR
T0000035,PAYMENT,75087.77,73562.4573693429,C1574355,M7185186,45689.7,0.0,233030.43,308118.2,0,2023-01-01,January,INR
T0000036,PAYMENT,33995.69,32839.769543869355,C8724620,C2616790,213719.25,179723.56,233444.98,267440.67,0,2023-01-01,January,INR
T0000037,PAYMENT,66257.52,66230.45565736531,C8448679,C1192813,336316.12,270058.6,266826.81,333084.33,0,2023-01-01,January,INR
T0000038,PAYMENT,19693.11,18463.772475099722,C3490836,C9801242,453725.63,434032.52,241708.79,261401.9,0,2023-01-01,January,INR
T0000039,TRANSFER,156834.73,163774.8529612912,C6684978,M2608303,110203.56,0.0,170760.89,327595.62,0,2023-01-01,January,INR
T0000040,CASH_OUT,58555.98,64066.93621451656,C2487061,C2023196,264016.19,205460.21,143119.16,201675.14,0,2023-01-01,January,INR
T0000041,CASH_OUT,19802.44,17822.51327513028,C7822788,C3728255,8605.42,0.0,367044.47,386846.91,0,2023-01-01,January,INR
T0000042,PAYMENT,77661.04,76373.58783208251,C7304705,C9994676,195088.1,117427.06,271610.49,349271.53,0,2023-01-01,January,INR
T0000043,TRANSFER,11073.92,10660.592081235201,C4190733,M8778017,172547.31,161473.39,54868.51,65942.43,0,2023-01-01,January,INR
T0000044,PAYMENT,14868.85,15954.30261976053,C1611279,C7479790,88611.92,73743.07,103369.84,118238.69,0,2023-01-01,January,INR
T0000045,TRANSFER,3806.05,3949.9102797187584,C9736281,M2692908,71631.57,67825.52,233536.46,237342.51,0,2023-01-01,January,INR
T0000046,DEBIT,31288.98,31722.332366817944,C5011186,M6663899,184591.98,153303.0,15917.98,47206.96,0,2023-01-01,January,INR
T0000047,TRANSFER,159512.56,169355.0393821771,C9038089,C8495528,30575.59,0.0,62938.69,222451.25,0,2023-01-01,January,INR
T0000048,TRANSFER,19060.26,17983.350703932574,C7101270,C4058051,453186.9,434126.64,67983.9,87044.16,0,2023-01-01,January,INR
T0000049,CASH_IN,39417.02,36230.19378540546,C8005450,C3332843,476871.67,437454.65,434112.16,473529.18,0,2023-01-01,January,INR
T0000050,TRANSFER,71506.23,68788.92375810204,C7839094,M8810227,431508.32,360002.09,190735.82,262242.05,0,2023-01-01,January,INR
T0000051,TRANSFER,32822.44,34117.73929179592,C2751748,M2183306,1845.34,0.0,430766.6,463589.04,0,2023-01-01,January,INR
T0000052,PAYMENT,31047.45,30663.36089501518,C4275153,C9190553,172429.16,141381.71,183002.32,214049.77,0,2023-01-01,January,INR
T0000053,CASH_OUT,23363.44,23941.644753731704,C5200488,C5311426,218287.54,194924.1,353518.07,376881.51,0,2023-01-01,January,INR
T0000054,CASH_OUT,27823.04,26443.692237112784,C5480123,M7496955,164560.53,136737.49,261004.5,288827.54,0,2023-01-01,January,INR
T0000055,CASH_IN,1945.22,1773.9694747906415,C1394233,C4348032,400018.17,398072.95,114465.2,116410.42,0,2023-01-01,January,INR
T0000056,TRANSFER,49839.03,46897.666606293285,C5919124,C7388996,337644.78,287805.75,451177.56,501016.59,0,2023-01-01,January,INR
T0000057,PAYMENT,42422.13,46572.58909153456,C2388605,C9324351,97572.7,55150.57,437928.54,480350.67,0,2023-01-01,January,INR
T0000058,CASH_IN,82035.77,83140.13564837736,C7690382,M5438391,43318.42,0.0,374182.79,456218.56,0,2023-01-01,January,INR
T0000059,PAYMENT,12347.27,12759.132675202727,C7147439,C2909544,299953.23,287605.96,331976.29,344323.56,0,2023-01-01,January,INR
T0000060,PAYMENT,778.94,800.4232918070638,C9302749,C1700513,421731.4,420952.46,221556.35,222335.29,0,2023-01-01,January,INR
T0000061,TRANSFER,9961.88,9106.222119735727,C7702858,C9331215,317043.34,307081.46,66567.66,76529.54,0,2023-01-01,January,INR
T0000062,TRANSFER,39268.26,36250.36189771429,C4299783,M9991260,122611.59,83343.33,210220.31,249488.57,0,2023-01-01,January,INR
T0000063,CASH_OUT,7194.02,7804.916276136716,C9707586,M6860013,278696.88,271502.86,362764.49,369958.51,0,2023-01-01,January,INR
T0000064,TRANSFER,16313.94,16755.626749775074,C4697652,M1139998,265414.75,249100.81,239847.87,256161.81,0,2023-01-01,January,INR
T0000065,TRANSFER,42449.57,45796.720794180896,C3932427,C8964252,393484.33,351034.76,491347.16,533796.73,0,2023-01-01,January,INR
T0000066,TRANSFER,11415.98,12015.5155000506,C9149820,C5458576,212902.92,201486.94,314727.74,326143.72,0,2023-01-01,January,INR
T0000067,PAYMENT,11203.48,12317.703068486775,C4334136,M3104161,360546.29,349342.81,80669.9,91873.38,0,2023-01-01,January,INR
T0000068,CASH_IN,5040.86,4883.2946956177775,C1687088,C4304208,129850.68,124809.82,39116.6,44157.46,0,2023-01-01,January,INR
T0000069,PAYMENT,19839.56,18955.540047822535,C5226001,M9476644,11928.35,0.0,107441.95,127281.51,0,2023-01-01,January,INR
T0000070,TRANSFER,18764.77,18408.391926305143,C8161118,C7985190,384886.4,366121.63,270358.03,289122.8,0,2023-01-01,January,INR
T0000071,CASH_IN,70769.17,70679.04057356024,C2705242,C6372776,493197.57,422428.4,483425.59,554194.76,0,2023-01-01,January,INR
T0000072,PAYMENT,57810.81,56614.88854454535,C5166464,M7622022,493207.37,435396.56,494064.18,551874.99,0,2023-01-01,January,INR
T0000073,TRANSFER,11876.02,11626.354974328637,C2169293,C8629182,375542.97,363666.95,381760.45,393636.47,0,2023-01-01,January,INR
T0000074,PAYMENT,37989.12,38650.57956056398,C7178303,C6652446,333920.1,295930.98,121106.06,159095.18,0,2023-01-01,January,INR
T0000075,CASH_OUT,16340.76,15513.754248553969,C5281343,C3824145,187185.87,170845.11,496360.32,512701.08,0,2023-01-01,January,INR
T0000076,TRANSFER,13898.21,14242.012776845992,C3971766,M1672646,462304.83,448406.62,469312.44,483210.65,0,2023-01-01,January,INR
T0000077,CASH_IN,45625.09,44836.24969647274,C3042183,M2108429,240329.25,194704.16,325873.98,371499.07,0,2023-01-01,January,INR
T0000078,TRANSFER,9471.91,9370.503549530524,C6080498,M3131644,363588.13,354116.22,7873.38,17345.29,0,2023-01-01,January,INR
T0000079,CASH_IN,26709.16,27795.868124531768,C7028325,C7917321,283479.89,256770.73,125002.37,151711.53,0,2023-01-01,January,INR
T0000080,TRANSFER,129574.42,139361.13505864728,C9462753,C1847425,448463.69,318889.27,242840.06,372414.48,0,2023-01-01,January,INR
T0000081,DEBIT,35321.09,37631.05131061213,C4934366,C2143735,344714.83,309393.74,148840.62,184161.71,0,2023-01-01,January,INR
T0000082,PAYMENT,44350.72,46946.44300959486,C2446193,C9810786,153399.13,109048.41,306392.81,350743.53,0,2023-01-01,January,INR
T0000083,TRANSFER,26886.72,27849.84760244989,C8494102,M4603571,457946.66,431059.94,285251.72,312138.44,0,2023-01-01,January,INR
T0000084,TRANSFER,39468.02,40716.98658738726,C6667878,C2150045,88468.68,49000.66,491351.54,530819.56,0,2023-01-01,January,INR
T0000085,CASH_OUT,66066.7,62949.106698538904,C7302385,C8852305,106387.47,40320.77,218619.14,284685.84,0,2023-01-01,January,INR
T0000086,PAYMENT,85496.42,90379.54456217121,C1875039,M9704733,179564.67,94068.25,14745.81,100242.23,0,2023-01-01,January,INR
T0000087,CASH_OUT,3829.35,3586.7335081838205,C3811299,M5537207,183855.54,180026.19,25096.69,28926.04,0,2023-01-01,January,INR
T0000088,TRANSFER,9371.03,9118.03731494934,C7910594,C2014409,411688.81,402317.78,79068.06,88439.09,0,2023-01-01,January,INR
T0000089,TRANSFER,12786.29,13851.654290946432,C8490337,C6648248,218668.49,205882.2,125588.85,138375.14,0,2023-01-01,January,INR
T0000090,PAYMENT,2918.13,2639.017054651296,C4916949,C8760072,436545.58,433627.45,335025.61,337943.74,0,2023-01-01,January,INR
T0000091,PAYMENT,65197.51,65510.959622331524,C8242878,M9689100,165903.51,100706.0,338869.6,404067.11,0,2023-01-01,January,INR
T0000092,CASH_OUT,31778.32,29975.009293879273,C8575225,M6171670,193485.0,161706.68,421524.48,453302.8,0,2023-01-01,January,INR
T0000093,PAYMENT,46362.33,43919.09436617873,C4487305,M9498106,381426.38,335064.05,2407.43,48769.76,0,2023-01-01,January,INR
T0000094,PAYMENT,38260.52,36692.612270883474,C9082787,M8485530,123559.34,85298.82,339196.25,377456.77,0,2023-01-01,January,INR
T0000095,CASH_IN,219978.53,232284.81185316655,C3594952,M2452280,61822.52,0.0,280707.3,500685.83,0,2023-01-01,January,INR
T0000096,PAYMENT,58837.68,53773.152993735486,C3156019,C6706304,69329.91,10492.23,128316.53,187154.21,0,2023-01-01,January,INR
T0000097,PAYMENT,34059.15,35855.54670206595,C7142458,C6991554,116268.96,82209.81,299396.39,333455.54,0,2023-01-01,January,INR
T0000098,TRANSFER,142396.61,142136.05173883212,C6730855,C7919533,300276.7,157880.09,73257.93,215654.54,0,2023-01-01,January,INR
T0000099,PAYMENT,29580.78,28042.3746282608,C2257772,C5782103,20292.66,0.0,10272.71,39853.49,0,2023-01-01,January,INR
T0000100,TRANSFER,77513.83,78555.45550202722,C8494629,M7577303,331770.78,254256.95,236714.2,314228.03,0,2023-01-01,January,INR
T0000101,CASH_OUT,16404.51,15410.478933416398,C2799173,M6258955,382516.0,366111.49,318797.43,335201.94,0,2023-01-01,January,INR
T0000102,PAYMENT,110201.7,118214.22607323974,C8244091,C3341682,373700.6,263498.9,275574.72,385776.42,0,2023-01-01,January,INR
T0000103,PAYMENT,27787.62,29286.429317801718,C1066260,C5356672,316129.02,288341.4,394802.39,422590.01,0,2023-01-01,January,INR
T0000104,PAYMENT,16075.48,15464.09971410622,C8171582,C9415433,219834.45,203758.97,117795.96,133871.44,0,2023-01-01,January,INR
T0000105,PAYMENT,81200.73,75135.04398024413,C8082318,C8584408,491089.96,409889.23,171059.31,252260.04,0,2023-01-01,January,INR
T0000106,TRANSFER,3044.14,3318.655178461146,C8023278,M6792814,45206.91,42162.77,294316.55,297360.69,0,2023-01-01,January,INR
T0000107,PAYMENT,37299.37,40129.113892054214,C6983657,M3897166,378594.57,341295.2,193870.44,231169.81,0,2023-01-01,January,INR
T0000108,TRANSFER,103627.82,102826.01794878877,C5244103,C2818756,190912.04,87284.22,388119.92,491747.74,0,2023-01-01,January,INR
T0000109,PAYMENT,70201.73,73063.96164179052,C7346487,M3570058,412936.71,342734.98,6197.59,76399.32,0,2023-01-01,January,INR
T0000110,DEBIT,23174.08,24130.592475006717,C3494094,C3754377,314593.03,291418.95,385005.38,408179.46,0,2023-01-01,January,INR
T0000111,CASH_IN,61833.61,59431.78637789554,C8026560,C9654858,69465.63,7632.02,406682.87,468516.48,0,2023-01-01,January,INR
T0000112,CASH_OUT,128732.85,128531.8657053973,C6000822,C5797458,419859.69,291126.84,350383.36,479116.21,0,2023-01-01,January,INR
T0000113,CASH_OUT,29247.55,27074.59369638464,C5130241,C4517807,38172.87,8925.32,274813.88,304061.43,0,2023-01-01,January,INR
T0000114,CASH_IN,22665.44,24090.237885852286,C5550455,M8936439,405368.2,382702.76,122200.89,144866.33,0,2023-01-01,January,INR
T0000115,PAYMENT,6784.28,6476.44172462082,C6118670,M4320767,283587.2,276802.92,73026.76,79811.04,0,2023-01-01,January,INR
T0000116,CASH_IN,8418.34,8758.217217623465,C1335360,M8170777,75218.71,66800.37,446103.43,454521.77,0,2023-01-01,January,INR
T0000117,TRANSFER,116792.65,116394.49483014323,C2258172,M6772981,297404.03,180611.38,499836.02,616628.67,0,2023-01-01,January,INR
T0000118,PAYMENT,62283.33,61082.75281800521,C3209330,M3718431,277417.56,215134.23,82455.0,144738.33,0,2023-01-01,January,INR
T0000119,TRANSFER,25647.69,23516.64698258497,C2030770,M9647361,158266.18,132618.49,191085.55,216733.24,0,2023-01-01,January,INR
T0000120,CASH_OUT,76984.04,71554.36541659417,C4956521,M7196376,406224.69,329240.65,114407.78,191391.82,0,2023-01-01,January,INR
T0000121,CASH_OUT,22286.02,23489.374601803655,C7015625,M9906587,63021.7,40735.68,102503.82,124789.84,0,2023-01-01,January,INR
T0000122,TRANSFER,830.19,900.1683924300515,C6889859,M1014911,69877.05,69046.86,351553.03,352383.22,0,2023-01-01,January,INR
T0000123,TRANSFER,115405.18,126931.774849668,C5239865,M3527275,121059.72,5654.54,467910.75,583315.93,0,2023-01-01,January,INR
T0000124,CASH_OUT,33687.24,32484.97084386212,C8695719,C3993769,432794.79,399107.55,199177.54,232864.78,0,2023-01-01,January,INR
T0000125,TRANSFER,33397.2,30173.96552307966,C6087124,C7068657,83056.67,49659.47,420392.68,453789.88,0,2023-01-01,January,INR
T0000126,CASH_IN,66259.52,63745.65068128523,C1712776,M8556356,403257.1,336997.58,437216.28,503475.8,0,2023-01-01,January,INR
T0000127,TRANSFER,31861.82,31994.69447524592,C7884988,C2093496,386811.06,354949.24,344018.2,375880.02,0,2023-01-01,January,INR
T0000128,PAYMENT,725.73,796.1792008402082,C6171405,C2360810,304702.9,303977.17,389534.16,390259.89,0,2023-01-01,January,INR
T0000129,PAYMENT,7588.53,7270.635893116124,C6712464,C7074109,234803.0,227214.47,44816.33,52404.86,0,2023-01-01,January,INR
T0000130,PAYMENT,26480.78,26659.43511057148,C6088359,M4180557,178153.25,151672.47,395555.04,422035.82,0,2023-01-01,January,INR
T0000131,TRANSFER,123986.47,134716.76432159008,C5982214,C7288308,107939.05,0.0,74855.53,198842.0,0,2023-01-01,January,INR
T0000132,PAYMENT,45012.96,40685.48582499955,C1815097,C1009389,347509.82,302496.86,362178.14,407191.1,0,2023-01-01,January,INR
T0000134,TRANSFER,5022.67,4839.290981186244,C8154212,M1208194,136893.18,131870.51,142293.63,147316.3,0,2023-01-01,January,INR
T0000135,PAYMENT,53626.64,55435.162121005975,C3735550,M9562289,162283.33,108656.69,240045.75,293672.39,0,2023-01-01,January,INR
T0000136,TRANSFER,35580.81,33773.65295446211,C6425543,C2314170,69795.01,34214.2,235716.4,271297.21,0,2023-01-01,January,INR
T0000137,CASH_OUT,84287.68,87510.02062757932,C1277360,M2601393,22268.34,0.0,94793.21,179080.89,0,2023-01-01,January,INR
T0000138,CASH_OUT,26151.58,27396.862886763618,C4127492,M1916767,219149.55,192997.97,9429.09,35580.67,0,2023-01-01,January,INR
T0000139,PAYMENT,86390.43,79426.50116549522,C4930456,C2984131,488101.34,401710.91,381468.49,467858.92,0,2023-01-01,January,INR
T0000140,TRANSFER,32842.43,34282.68677963267,C9844644,C5407563,471805.25,438962.82,445490.95,478333.38,0,2023-01-01,January,INR
T0000141,PAYMENT,4022.38,3790.5294591430293,C2931261,M6557916,67715.48,63693.1,134174.33,138196.71,0,2023-01-01,January,INR
T0000142,PAYMENT,54270.67,59181.93429697925,C3488934,M9100038,275723.58,221452.91,336208.34,390479.01,0,2023-01-01,January,INR
T0000143,CASH_OUT,57937.56,59595.2918392925,C4676757,C8900452,174004.93,116067.37,306029.89,363967.45,0,2023-01-01,January,INR
T0000144,CASH_IN,63532.73,67481.02530217536,C9933989,C1761775,324892.51,261359.78,162268.16,225800.89,0,2023-01-01,January,INR
T0000145,PAYMENT,87968.22,80158.57567243344,C8680626,C4849376,13565.2,0.0,136595.1,224563.32,0,2023-01-01,January,INR
T0000146,PAYMENT,31872.31,29352.01371958008,C1312236,C8828530,271769.6,239897.29,435127.47,466999.78,0,2023-01-01,January,INR
T0000147,PAYMENT,71090.44,72839.1001686987,C3105455,M2489269,230569.72,159479.28,198711.12,269801.56,0,2023-01-01,January,INR
T0000148,CASH_OUT,41810.85,39928.990063375706,C8395069,M7013419,280631.38,238820.53,498546.03,540356.88,0,2023-01-01,January,INR
T0000149,DEBIT,68418.82,72435.18617331116,C1524724,C4841105,76145.69,7726.87,415938.96,484357.78,0,2023-01-01,January,INR
T0000150,CASH_OUT,9855.76,8927.638586967882,C8701036,M2520053,309359.84,299504.08,417182.26,427038.02,0,2023-01-01,January,INR
T0000151,DEBIT,95509.75,94500.29972475933,C3532454,C1555619,148165.39,52655.64,108871.32,204381.07,0,2023-01-01,January,INR
T0000152,TRANSFER,6626.82,6927.325090455452,C9258868,C3607628,254169.39,247542.57,207423.89,214050.71,0,2023-01-01,January,INR
T0000153,PAYMENT,21954.95,22724.226077742685,C3642343,M1008305,434494.95,412540.0,60962.37,82917.32,0,2023-01-01,January,INR
T0000154,CASH_OUT,2737.63,2821.988360497392,C4908850,C2747651,46880.25,44142.62,188167.44,190905.07,0,2023-01-01,January,INR
T0000155,PAYMENT,39546.08,40248.49199118645,C6957247,M5936932,198785.35,159239.27,498989.86,538535.94,0,2023-01-01,January,INR
T0000156,CASH_OUT,46948.89,43959.37653415037,C2136526,C8103685,274173.14,227224.25,316184.88,363133.77,0,2023-01-01,January,INR
T0000158,TRANSFER,16933.23,17083.57231188965,C5545138,C7525902,239810.61,222877.38,146047.08,162980.31,0,2023-01-01,January,INR
T0000159,TRANSFER,65565.15,59973.18266990654,C8055083,M1666608,360275.78,294710.63,106857.04,172422.19,0,2023-01-01,January,INR
T0000160,CASH_OUT,11188.88,10360.37854971472,C9964961,M3739683,334964.63,323775.75,55255.61,66444.49,0,2023-01-01,January,INR
T0000161,CASH_IN,139891.3,135557.27221271122,C6978821,C6928355,238631.34,98740.04,84708.64,224599.94,0,2023-01-01,January,INR
T0000162,PAYMENT,75102.64,78469.19186281438,C4682677,C1489008,128522.78,53420.14,183164.32,258266.96,0,2023-01-01,January,INR
T0000163,DEBIT,18324.14,16550.919334004142,C4657481,C6255416,129027.77,110703.63,214292.89,232617.03,0,2023-01-01,January,INR
T0000164,CASH_OUT,16492.3,15478.70162242362,C4761628,M2518666,382061.38,365569.08,191112.86,207605.16,0,2023-01-01,January,INR
T0000165,CASH_OUT,28430.12,26950.817704522353,C8326182,C4774969,225175.63,196745.51,76185.51,104615.63,0,2023-01-01,January,INR
T0000166,PAYMENT,27305.36,25787.23063643641,C3890941,M6668886,164628.04,137322.68,140017.94,167323.3,0,2023-01-01,January,INR
T0000167,PAYMENT,8538.39,9219.725901492937,C2502756,C9877911,342512.42,333974.03,222080.13,230618.52,0,2023-01-01,January,INR
T0000168,DEBIT,4050.58,4380.0272714177145,C4008622,M1813355,251388.48,247337.9,42058.77,46109.35,0,2023-01-01,January,INR
T0000169,TRANSFER,115227.48,111749.56134838745,C1204408,M5953731,220645.1,105417.62,25088.08,140315.56,0,2023-01-01,January,INR
T0000170,PAYMENT,13789.83,14568.052239864019,C1955283,C5828188,69333.09,55543.26,396974.38,410764.21,0,2023-01-01,January,INR
T0000171,PAYMENT,58274.72,55199.60258200421,C1810430,M1571873,450308.43,392033.71,99890.97,158165.69,0,2023-01-01,January,INR
T0000172,DEBIT,33974.66,31154.578692906634,C7943970,C6516360,415313.84,381339.18,151608.01,185582.67,0,2023-01-01,January,INR
T0000173,PAYMENT,63289.33,59709.957622373426,C7501233,M1679808,418575.33,355286.0,50115.38,113404.71,0,2023-01-01,January,INR
T0000174,CASH_OUT,70004.74,67172.90570267376,C7270936,C7189781,93715.76,23711.02,92284.37,162289.11,0,2023-01-01,January,INR
T0000175,CASH_OUT,52738.99,49990.8072109233,C5156894,C2868773,252143.36,199404.37,418262.23,471001.22,0,2023-01-01,January,INR
T0000176,TRANSFER,110995.71,102483.38790721983,C7453525,C2128201,473839.1,362843.39,462015.97,573011.68,0,2023-01-01,January,INR
T0000177,CASH_OUT,412.08,397.186169671263,C2451445,M1644837,463880.29,463468.21,206054.85,206466.93,0,2023-01-01,January,INR
T0000178,TRANSFER,50353.58,55235.38676957409,C9105594,M5137352,19418.57,0.0,106345.38,156698.96,0,2023-01-01,January,INR
T0000179,DEBIT,10092.37,9631.43368662379,C5509402,M3124441,3435.07,0.0,347512.13,357604.5,0,2023-01-01,January,INR
T0000180,CASH_OUT,52114.91,53578.71617683239,C9442461,M5170569,255622.72,203507.81,101986.88,154101.79,0,2023-01-01,January,INR
T0000181,CASH_IN,20588.22,21807.40247188271,C2370808,C9061261,106017.25,85429.03,340514.66,361102.88,0,2023-01-01,January,INR
T0000182,PAYMENT,42697.15,40457.01083495977,C5475970,M8517542,105174.22,62477.07,342891.51,385588.66,0,2023-01-01,January,INR
T0000183,TRANSFER,69530.0,74112.02971098774,C7266882,M7754242,232478.64,162948.64,399924.97,469454.97,0,2023-01-01,January,INR
T0000184,TRANSFER,22999.11,24343.16943870307,C5460632,M5218452,23555.06,555.95,127167.33,150166.44,0,2023-01-01,January,INR
T0000185,TRANSFER,1936.75,1873.7148237619836,C5015406,C2010168,334745.66,332808.91,160326.42,162263.17,0,2023-01-01,January,INR
T0000186,TRANSFER,16368.84,17683.562009910376,C2495926,M4661161,175430.01,159061.17,125931.47,142300.31,0,2023-01-01,January,INR
T0000187,CASH_IN,79329.52,79411.7725502409,C4429190,M1196367,36490.75,0.0,319640.05,398969.57,0,2023-01-01,January,INR
T0000188,CASH_OUT,17083.69,17235.32379308594,C3148896,C2111143,424648.45,407564.76,488011.91,505095.6,0,2023-01-01,January,INR
T0000189,CASH_OUT,155576.42,169153.61509087906,C3713608,M3715391,262227.61,106651.19,209976.99,365553.41,0,2023-01-01,January,INR
T0000190,TRANSFER,102938.26,93200.02522964012,C7153305,C7250178,457522.55,354584.29,168334.2,271272.46,0,2023-01-01,January,INR
T0000191,CASH_OUT,38868.01,41445.41826855315,C6672542,M8095487,2195.14,0.0,290032.98,328900.99,0,2023-01-01,January,INR
T0000192,CASH_IN,98302.46,90064.83019709383,C6464767,C6578104,292380.01,194077.55,176782.42,275084.88,0,2023-01-01,January,INR
T0000193,CASH_IN,11424.45,10364.201612609639,C4256313,C3320383,234883.88,223459.43,55917.65,67342.1,0,2023-01-01,January,INR
T0000194,PAYMENT,123199.54,126794.14920754828,C9637232,C7452547,468709.87,345510.33,247521.55,370721.09,0,2023-01-01,January,INR
T0000195,CASH_OUT,22006.9,20227.812316609212,C1788849,C9968271,88395.82,66388.92,293009.24,315016.14,0,2023-01-01,January,INR
T0000196,CASH_OUT,93245.3,96337.118124248,C4083316,C6906548,272873.33,179628.03,216209.0,309454.3,0,2023-01-01,January,INR
T0000197,PAYMENT,54040.02,50404.592994353276,C4050493,C7854557,86129.35,32089.33,382358.68,436398.7,0,2023-01-01,January,INR
T0000198,CASH_OUT,2102.82,1937.3177388971487,C9657078,C8877553,429532.09,427429.27,338891.67,340994.49,0,2023-01-01,January,INR
T0000199,CASH_IN,88454.65,88834.74899174065,C4296371,C7440362,167485.37,79030.72,229778.14,318232.79,0,2023-01-01,January,INR
T0000200,PAYMENT,82340.85,88517.85803715633,C9177225,C8896114,225096.14,142755.29,474686.14,557026.99,0,2023-01-01,January,INR
T0000201,PAYMENT,35851.32,32989.88209300016,C5455590,C3665106,343820.65,307969.33,293471.23,329322.55,0,2023-01-01,January,INR
T0000202,CASH_IN,45397.14,42280.987201978896,C7297363,M3769149,135395.12,89997.98,180004.3,225401.44,0,2023-01-01,January,INR
